Date,From State,To State,Duration Days,Return 1D,Return 3D,Return 5D,Return 10D,Return 20D,Entry vs 10D Low,Exit vs Previous 10D High,Timing Score,Timing Class,Whipsaw
1993-02-16,AGGRESSIVE,MODERATE,1,,,,,,,-0.12794874643195076,,N/A,True
1993-02-17,MODERATE,DEFENSIVE,6,0.0,0.0,0.0,,,0.0,-0.12794874643195076,74.41025071360986,GOOD,False
1993-02-25,DEFENSIVE,MODERATE,3,-0.003163539133675619,,,,,0.015184821303071194,-0.05030272240837208,96.96303573938576,EXCELLENT,True
1993-03-02,MODERATE,DEFENSIVE,200,0.0,0.0,0.0,0.0,0.0,0.0,-0.014957691431576214,97.00846171368475,EXCELLENT,False
1993-12-14,DEFENSIVE,MODERATE,6,0.01087479643489031,0.03203918354840485,0.028879713724693,,,0.0,0.0,100.0,EXCELLENT,False
1993-12-22,MODERATE,AGGRESSIVE,70,0.014460375364075073,0.048416326421050204,0.07158711949748353,0.12233543036949324,0.17879260107095996,0.0,-0.006387320277110309,100.0,EXCELLENT,False
1994-04-04,AGGRESSIVE,MODERATE,1,,,,,,,-0.23478102345233476,,N/A,True
1994-04-05,MODERATE,DEFENSIVE,29,0.0,0.0,0.0,0.0,0.0,0.0,-0.208755901641817,58.248819671636596,FAIR,False
1994-05-17,DEFENSIVE,MODERATE,27,0.04465510374002535,0.05420667455730466,0.09141201395492726,0.10300824542923959,0.09095275832589333,0.0,0.0,100.0,EXCELLENT,False
1994-06-24,MODERATE,DEFENSIVE,14,0.0,0.0,0.0,0.0,,0.0,-0.1270043800508186,74.59912398983629,GOOD,False
1994-07-15,DEFENSIVE,MODERATE,28,0.004894281486905738,-0.04249545999173299,-0.01339014735867039,0.012665489869661206,0.04746949483646512,0.0443814710177417,0.0,91.12370579645166,EXCELLENT,False
1994-08-24,MODERATE,AGGRESSIVE,15,0.023100905178200515,0.07636909906403289,0.07049027706708211,0.08966336531490837,,0.0,-0.0019412957371591766,100.0,EXCELLENT,False
1994-09-15,AGGRESSIVE,MODERATE,31,-0.01316830115736456,-0.050773092911463924,-0.06701934182510161,-0.07927378129446239,-0.042108186598277864,0.1366643154699514,-0.025143117633395495,72.66713690600972,GOOD,False
1994-10-28,MODERATE,AGGRESSIVE,17,0.008349754679605859,-0.02278048142592215,-0.07689039763108252,-0.05705143920364908,,0.09417836653676348,0.0,81.16432669264731,EXCELLENT,False
1994-11-22,AGGRESSIVE,MODERATE,35,-0.004092678941214789,0.028789875877885507,0.03302636464611841,-0.014698167798170902,-0.008349293782619394,0.06615322222878794,-0.026599501536153425,86.76935555424241,EXCELLENT,False
1995-01-13,MODERATE,AGGRESSIVE,94,0.022647237998136838,0.06342415682226243,-0.006683243392689775,-0.030791147265500696,0.13800273413558495,0.07602507793117996,-0.0017744450529936229,84.79498441376401,EXCELLENT,False
1995-05-30,AGGRESSIVE,MODERATE,15,0.024676776891766172,0.04320183790487686,0.052649500130303784,0.09470823809166617,,0.0,-0.043624869601878835,100.0,EXCELLENT,False
1995-06-20,MODERATE,AGGRESSIVE,5,-0.022970877956464797,0.02565049356505833,,,,0.023510945004811434,0.0,95.29781099903771,EXCELLENT,True
1995-06-27,AGGRESSIVE,MODERATE,9,0.010353902047997243,0.03792799466885466,0.05801814694098373,,,0.0,-0.05343588051963133,100.0,EXCELLENT,False
1995-07-11,MODERATE,DEFENSIVE,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,EXCELLENT,False
1995-09-26,DEFENSIVE,MODERATE,6,-0.015953941676996264,0.012555496944078648,-0.029246508903632118,,,0.03012763711063382,0.0,93.97447257787323,EXCELLENT,False
1995-10-04,MODERATE,DEFENSIVE,5,0.0,0.0,,,,0.0,-0.07493016967835608,85.01396606432878,EXCELLENT,True
1995-10-11,DEFENSIVE,MODERATE,1,,,,,,,-0.07493016967835608,,N/A,True
1995-10-12,MODERATE,DEFENSIVE,79,0.0,0.0,0.0,0.0,0.0,0.0,-0.07493016967835608,85.01396606432878,EXCELLENT,False
1996-02-05,DEFENSIVE,MODERATE,47,0.011855874317415305,0.02616468686882767,0.03051653547128219,0.0013554383939065051,-0.007178653677515134,0.05511910207487536,0.0,88.97617958502492,EXCELLENT,False
1996-04-12,MODERATE,AGGRESSIVE,14,0.029397707721275257,0.07574974384648958,0.1385087854583804,0.32352184546080176,,0.0,-0.047826070750815575,100.0,EXCELLENT,False
1996-05-02,AGGRESSIVE,MODERATE,15,0.012950018062145796,0.011631357984395407,0.016343799619794597,0.11662388785367184,,0.0,0.0,100.0,EXCELLENT,False
1996-05-23,MODERATE,AGGRESSIVE,26,-0.014283773041902426,-0.06560088346447801,-0.0025333575119896867,-0.010575937579861638,-0.09692828308279366,0.14716102718712976,-0.021823017379767884,70.56779456257405,GOOD,False
1996-07-01,AGGRESSIVE,MODERATE,3,-0.020452424052289087,,,,,0.040524908451409436,-0.013449090661382557,91.89501830971811,EXCELLENT,True
1996-07-05,MODERATE,DEFENSIVE,8,0.0,0.0,0.0,,,0.0,-0.042384240965432474,91.5231518069135,EXCELLENT,False
1996-07-17,DEFENSIVE,MODERATE,4,0.039144875224288,-0.024531673645139973,,,,0.025148611166915247,-0.0188803253795663,94.97027776661695,EXCELLENT,True
1996-07-23,MODERATE,DEFENSIVE,3,0.0,,,,,0.0,-0.06127783563931266,87.74443287213747,EXCELLENT,True
1996-07-26,DEFENSIVE,MODERATE,1,,,,,,,-0.06127783563931266,,N/A,True
1996-07-29,MODERATE,DEFENSIVE,11,0.0,0.0,0.0,0.0,,0.0,-0.06127783563931266,87.74443287213747,EXCELLENT,False
1996-08-13,DEFENSIVE,MODERATE,143,0.02387039033809879,0.008536468043421452,-0.020151424285750452,0.026265957558082587,0.010174589965842085,0.058735483648651554,0.0,88.25290327026968,EXCELLENT,False
1997-03-07,MODERATE,DEFENSIVE,13,0.0,0.0,0.0,0.0,,0.0,-0.07187937211987039,85.62412557602592,EXCELLENT,False
1997-03-26,DEFENSIVE,MODERATE,2,-0.0377691075424571,,,,,0.0392516056577592,0.0,92.14967886844816,EXCELLENT,True
1997-03-31,MODERATE,DEFENSIVE,4,0.0,0.0,,,,0.0,-0.0377691075424571,92.44617849150858,EXCELLENT,True
1997-04-04,DEFENSIVE,MODERATE,5,0.023831477730557493,0.014196864146825083,,,,0.024090019505665694,-0.0377691075424571,95.18199609886686,EXCELLENT,True
1997-04-11,MODERATE,DEFENSIVE,30,0.0,0.0,0.0,0.0,0.0,0.0,-0.06410081380992505,87.17983723801498,EXCELLENT,False
1997-05-23,DEFENSIVE,MODERATE,107,0.052968215018426745,0.022350388350098616,-0.003173180748951898,-0.014131628998434342,0.011349391822689903,0.08645933053338672,0.0,82.70813389332265,EXCELLENT,False
1997-10-24,MODERATE,DEFENSIVE,2,0.0,,,,,0.0,-0.1160462905169356,76.79074189661289,GOOD,True
1997-10-28,DEFENSIVE,MODERATE,1,,,,,,,-0.10154430143975268,,N/A,True
1997-10-29,MODERATE,DEFENSIVE,46,0.0,0.0,0.0,0.0,0.0,0.0,-0.08121263515224708,83.75747296955058,EXCELLENT,False
1998-01-06,DEFENSIVE,MODERATE,58,-0.030281022769490407,-0.09952370772954477,-0.026153568726708265,0.03446679630994942,0.23523879530688618,0.11052340698343799,0.0,77.8953186033124,GOOD,False
1998-03-31,MODERATE,AGGRESSIVE,5,0.018493897764571665,0.030491587338548287,,,,0.042685444424520824,-0.019060283211323248,91.46291111509584,EXCELLENT,True
1998-04-07,AGGRESSIVE,MODERATE,99,0.01483658683173239,0.03461164406317274,0.08312409956990252,0.18789918328114164,0.09525692700919941,0.0,-0.06931602006301607,100.0,EXCELLENT,False
1998-08-27,MODERATE,DEFENSIVE,3,0.0,,,,,0.0,-0.040578722252035404,91.88425554959292,EXCELLENT,True
